,p1,p2,p3,p4,ll
0,0.01,0.01,0.01,0.97,-2077.881335797684
1,0.01,0.01,0.035,0.945,-1731.5990276802834
2,0.01,0.01,0.060000000000000005,0.92,-1521.9240127715125
3,0.01,0.01,0.085,0.895,-1373.07808452839
4,0.01,0.01,0.11000000000000001,0.87,-1258.9267776762122
5,0.01,0.01,0.135,0.845,-1167.3105312729024
6,0.01,0.01,0.16,0.8200000000000001,-1091.5796099616423
7,0.01,0.01,0.185,0.795,-1027.7037921466842
8,0.01,0.01,0.21,0.77,-973.0600644239581
9,0.01,0.01,0.235,0.745,-925.850137129825
10,0.01,0.01,0.26,0.72,-884.7919545792975
11,0.01,0.01,0.28500000000000003,0.695,-848.943874033242
12,0.01,0.01,0.31000000000000005,0.6699999999999999,-817.5985657146474
13,0.01,0.01,0.3350000000000001,0.6449999999999999,-790.2160207780546
14,0.01,0.01,0.3600000000000001,0.6199999999999999,-766.3797056557175
15,0.01,0.01,0.3850000000000001,0.5949999999999999,-745.7670587771318
16,0.01,0.01,0.41000000000000014,0.5699999999999998,-728.1292467645831
17,0.01,0.01,0.43500000000000016,0.5449999999999998,-713.2771376134339
18,0.01,0.01,0.4600000000000002,0.5199999999999998,-701.0716222263769
19,0.01,0.01,0.4850000000000002,0.4949999999999998,-691.4171237232183
20,0.01,0.01,0.5100000000000002,0.46999999999999975,-684.2575846030575
21,0.01,0.01,0.5350000000000003,0.44499999999999973,-679.5745300151623
22,0.01,0.01,0.5600000000000003,0.4199999999999997,-677.387039661786
23,0.01,0.01,0.5850000000000003,0.3949999999999997,-677.7536678276103
24,0.01,0.01,0.6100000000000003,0.36999999999999966,-680.7765700467023
25,0.01,0.01,0.6350000000000003,0.34499999999999964,-686.6083697930848
26,0.01,0.01,0.6600000000000004,0.3199999999999996,-695.4626915886769
27,0.01,0.01,0.6850000000000004,0.2949999999999996,-707.6299016700449
28,0.01,0.01,0.7100000000000004,0.2699999999999996,-723.5006232239098
29,0.01,0.01,0.7350000000000004,0.24499999999999955,-743.6014001405788
30,0.01,0.01,0.7600000000000005,0.21999999999999953,-768.650238737654
31,0.01,0.01,0.7850000000000005,0.1949999999999995,-799.6463590129033
32,0.01,0.01,0.8100000000000005,0.16999999999999948,-838.0223835887904
33,0.01,0.01,0.8350000000000005,0.14499999999999946,-885.9189456435291
34,0.01,0.01,0.8600000000000005,0.11999999999999944,-946.7221691975595
35,0.01,0.01,0.8850000000000006,0.09499999999999942,-1026.2381946950582
36,0.01,0.01,0.9100000000000006,0.0699999999999994,-1135.70001325909
37,0.01,0.01,0.9350000000000006,0.044999999999999374,-1301.6690161433855
38,0.01,0.01,0.9600000000000006,0.01999999999999935,-1619.740849840987
39,0.01,0.035,0.01,0.945,-1731.5990276802834
40,0.01,0.035,0.035,0.9199999999999999,-1521.9240127715125
41,0.01,0.035,0.060000000000000005,0.895,-1373.07808452839
42,0.01,0.035,0.085,0.87,-1258.9267776762122
